Occasion,Date,Trap,Species,Recapture (R/N) ,Tag no.,Age (J/SA/A),Sex (M/F),Breeding ,HF (L),E (L),AGD,HB,T,Tail % of HB,MZ (Muzzle length),Parasites (number of ectoparasites visible with naked eRe),Bag Weight (g),Weight incl. bag (g),Weight,Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Processor,Whot Baited,Other Notes,Flagged
F1-1-2011-1,04/07/2011,F1-1-45B,RS,N,O4173CO352,A,F,,36.6,21.7,10.2,,,,,137,19,109,90,,,108,,,,,
F1-1-2011-1,04/07/2011,F1-1-30B,RS,N,O417815793,A,M,,40.05,23.8,21.4,,,,,109,19,135,116,,,97,,,,"White tip to tail, thick red full collar, black patch above anus",
F1-1-2011-1,04/07/2011,F1-1-25B,WH,N,O417815A67,A,F,,27.1,17.1,5.7,,,,,38,20,62,42,tear in left ear,,101,,,,,
F1-1-2011-1,04/07/2011,F1-1-19B,PR,N,O417815EAC,A,M,,22.8,14.4,8.85,92.4,118.35,,,14,20,43,23,,,,,,,"very small, tough skin, tail all dark slighltR furrR toawrds end, dull brown upperparts with soft white spines, underparts pale with slight orange tinge, underfur grey and velvetR, fur soft, long black guard hairs. EDIT by ORW: originally ID'd as MFR/RR, before we had PR dialled down. very likely to be PR.",
F1-1-2011-1,04/07/2011,F1-1-18B,RS,N,O41781655B,A,F,,37.8,22.85,11.1,,,,,60,19,113,94,,,104,,,,,
F1-1-2011-1,04/07/2011,F1-1-40A,WH,N,O4178169F1,A,M,,28.35,17.5,12.45,,,,,46,19,58,39,,,106,,,,,
F1-1-2011-1,04/07/2011,F1-1-3B,RS,N,O417816A24,A,F,,40.5,23.3,8.2,,,,,104,19,118,99,,,111,,,,,
F1-1-2011-1,04/07/2011,F1-1-24A,WH,N,O417816BD2,A,F,,28.35,18.9,8,,,,,39,20,71,51,,,103,,,,,
F1-1-2011-1,04/07/2011,F1-1-34B,RS,N,O41781754O,A,F,,36.95,22,8.9,,,,,67,20,96,76,,,102,,,,,
F1-1-2011-1,04/07/2011,F1-1-32B,RS,N,O417817BA5,A,M,,41.1,22.55,19.55,,,,,75,19,140,121,,,98,,,,,
F1-1-2011-1,04/07/2011,F1-1-27B,RS,N,O41781846A,SA,M,,39.25,25.7,10.45,,,,,86,19,127,108,,,99,,,,No collar,
F1-1-2011-1,04/07/2011,F1-1-17A,WH,N,O417818AFC,A,M,,27.05,17.3,9.7,,,,,44,19,58,39,,,100,,,,,
F1-1-2011-1,04/07/2011,F1-1-7A,PR,N,O4178198D9,A,M?,,23.1,13.5,8.05,,,,,2,20,48,28,"End of tail missing, old wound",,,,,,"EDIT by ORW: originally ID'd as MFR/RR, before we had PR dialled down. very likely to be PR.",
F1-1-2011-1,04/07/2011,F1-1-35B,RS,N,O4178199AD,A,M,Testes,41.75,24.25,18.65,,,,,136,20,139,119,,,105,,,,"red ankle bands, no collar",
F1-1-2011-1,04/07/2011,F1-1-38B,SS,N,O41781A1OC,A,M,,27.1,16.1,13.45,,,,,41,21,73,52,,,,,,,"small, very spiny fur, dark brown upperparts, very orange belly, underfur and underparts very spiny, tail dark above white below, pink feet, lump just above anus, long genital parts",
F1-1-2011-1,04/07/2011,F1-1-19A,PR,N,O41781A64F,A,M,,23.9,13.6,17.1,,,,,16,19,58,39,,,,,,,"Large testes and lump at the base of the tail, broad feet, white underparts, dark olive upperparts, dark under fur, soft fur, dark tail. EDIT by ORW: originally ID'd as MFR/RR, before we had PR dialled down. very likely to be PR.",
F1-1-2011-1,04/07/2011,F1-1-48B,LTG,N,O41781B7A1,A,M,,47.4,23.8,27.6,,,,,14,20,288,268,,,110,,,,,
F1-1-2011-1,04/07/2011,F1-1-28A,RR,N,O41781CEF9,A,F,R,35,20.7,10.1,,,,,10,19,112,93,,,,,,,"Long black guard hairs, dark grey upperparts, lighter but still dark grey underparts, lump at base of tail",
F1-1-2011-1,04/07/2011,F1-1-21A,LSQ,N,,,,,,,,,,,,,,,,,,,,,,RELEASED,
F1-1-2011-2,05/07/2011,F1-1-8B,RR,N,NewDead19,,,,,,,,,,,,,,,,y,,,,,"Dead in trap - killed by ants, not recapture",
F1-1-2011-2,05/07/2011,F1-1-4A,RS,N,NewDead20,,,,,,,,,,,,,,,,y,,,,,"Dead in trap, possibly attacked by bird, all legs missing, skinned, bag taken off, not recapture",
F1-1-2011-2,05/07/2011,F1-1-20A,WH,N,O4173BF328,A,F,,27.3,15.8,8.15,,,,,52,19,50,31,,,121,,,,,
F1-1-2011-2,05/07/2011,F1-1-18A,RR,N,O4173BFF65,A,F,,33.5,20.85,14.45,,,,,16,19,122,103,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-19B,PR,R,O417815EAC,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-12B,SS,N,O417816AF5,A,F,,26.5,16.7,8.65,,,,,34,19,72,53,"Tip of tail missing, old wound",,,,,,Long genital parts,
F1-1-2011-2,05/07/2011,F1-1-24B,WH,R,O417816BD2,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-9B,RR,N,O417816BEO,A,M,,34.1,20.6,16.9,,,,,29,20,124,104,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-48B,SS,N,O417816FC2,A,M?,,27.45,17.6,13.25,,,,,41,19,77,58,,,112,,,,,
F1-1-2011-2,05/07/2011,F1-1-32B,SS,N,O417817324,A,M,Testes,27.2,17.8,12.6,,,,,55,19,64,45,,,,,,,Released at 23A,
F1-1-2011-2,05/07/2011,F1-1-28A,WH,N,O41781744A,A,F?,,27.2,17.2,9.55,,,,,28,19,54,35,,,116,,,,White patch on belly,
F1-1-2011-2,05/07/2011,F1-1-35A,RR,N,O4178177OO,A,F,,33.05,18.5,13.4,,,,,7,19,137,118,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-34B,RS,N,O417817O68,A,M?,,38.35,22.6,12,,,,,109,19,142,123,,,119,,,,"Thin incomplete collar, ankle bands",
F1-1-2011-2,05/07/2011,F1-1-47A,WH,N,O4178184EB,A,M,,26.15,18.25,10.25,,,,,34,19,61,42,Tear in left ear,,113,,,,,
F1-1-2011-2,05/07/2011,F1-1-13A,WH,N,O417818D83,A,F,,25.65,17.6,8.5,,,,,34,19,58,39,,,118,,,,,
F1-1-2011-2,05/07/2011,F1-1-24A,WH,N,O417819716,A,M,,26.7,18.05,11.25,,,,,31,19,57,38,,,117,,,,,
F1-1-2011-2,05/07/2011,F1-1-46A,SS,R,O41781A1OC,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-48A,LSQ,N,O41781B5DE,A,M,Testes,34.6,12.1,19.45,130.65,96.7,,,30,19,96,77,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-27B,RR,R,O41781CEF9,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-17B,RR,N,O41781COFF,A,F,R,34.4,18.8,19.25,,,,,13,19,124,105,,,,,,,,
F1-1-2011-2,05/07/2011,F1-1-23A,WH,N,O41781D4AB,A,F,,28.05,17.4,8.6,,,,,17,19,58,39,Tear in left ear,,120,,,,,
F1-1-2011-2,05/07/2011,F1-1-38A,RS,N,O41781F2D7,A,M,,40.2,24.3,10.85,,,,,108,19,126,107,,,114,,,,Escaped close to 23,
F1-1-2011-2,05/07/2011,F1-1-37B,WH,N,O41781FAD8,A,F,R,25.75,19,7.3,,,,,21,19,53,34,,,115,,,,,
F1-1-2011-2,05/07/2011,F1-1-47B,RR,N,O4178729C2,A,F,R,33.8,18.15,15.4,,,,,12,19,109,90,,,,,,,"Dull brown colour, long black guard hairs, only slightly paler underneath, soft fur, hairy feet, tail all brown",
F1-1-2011-3,06/07/2011,F1-1-7B,LTG,R,O4173BFO4O,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-45B,RS,R,O4173CO352,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-6A,LSQ,N,O417815873,A,M,,34.2,14,23.7,149.2,90.45,,,6,19,108,89,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-17B,PR,N,O417815B52,A,F,,21.65,14,6.5,,,,,16,19,45,26,,,,,,,"Small size, could be juvenile MFR, grey white underparts, olive dark upperparts, fur relativelR soft, white spines, no guard hairs (or very few). EDIT by ORW: originally ID'd as MFR/RR, before we had PR dialled down. very likely to be PR.",
F1-1-2011-3,06/07/2011,F1-1-18A,PR,R,O417815EAC,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-25B,RS,R,O41781655B,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-39B,SS,N,O4178167A9,A,M,,26.45,17.1,12.1,,,,,34,21,70,49,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-12A,RS,N,O417816A9B,A,M,,39.25,23.25,18.8,,,,,131,19,129,110,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-25A,RS,N,O417817746,A,F,,38.7,24.5,9.7,,,,,76,19,116,97,,,124,,,,,
F1-1-2011-3,06/07/2011,F1-1-14A,FSGSQ,N,O417817BE7,A,M,,42.55,12.7,11.8,176.3,138.7,,,5,19,179,160,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-7A,SS,N,O417817CCA,SA,M,,25.7,17.85,12.2,,,,,37,19,61,42,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-48A,MR,N,O41781888A,A,M,,41.7,22.65,25.3,,,,,14,19,188,169,,,,,,,"Buffy white underparts, grey bases, olive dark upperparts, guard hairs all over. EDIT by ORW: This must have been an MR, not RR, based on description and biometrics (see HF and weight particularly). However, the comment ""grey bases"" is odd if it refers to underparts, which it seems to. Ambiguous though, especially as we were doing fur clips at this point, so grey bases may refer to the fur clip (which is obviously slate grey in MR). ",
F1-1-2011-3,06/07/2011,F1-1-34B,LSQ,N,O417818B43,A,F,,33.55,11.9,6.2,,,,,10,19,100,81,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-24B,RR,N,O41781955D,A,F,,33.8,20.1,17.2,,,,,13,19,91,72,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-37A,RS,N,O41781AA7B,A,M,,37.9,24.8,12.75,,,,,169,19,125,106,,,123,,,,,
F1-1-2011-3,06/07/2011,F1-1-48B,LTG,R,O41781B7A1,A,M,,,,,,,,,,,,,,,,,,,"Double tag, also 0417817B09",
F1-1-2011-3,06/07/2011,F1-1-38B,RS,R,O41781F2D7,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-3,06/07/2011,F1-1-47B,LTG,N,O41781F731,A,M,,46.4,27.35,24.8,,,,,30,19,425,406,,,122,,,,,
F1-1-2011-4,07/07/2011,F1-1-45A,RS,R,O4173CO352,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-27A,RS,R,O417815793,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-18B,RS,R,O41781655B,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-13A,LTG,N,O4178166A8,A,M,Testes,48.5,21.55,28.5,,,,,13,19,303,284,,,129,,,,,
F1-1-2011-4,07/07/2011,F1-1-25A,WH,R,O417816BD2,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-3A,LTG,N,O41781822A,A,M,,46,22.65,30.5,,,,,20,19,276,258,,,133,,,,,
F1-1-2011-4,07/07/2011,F1-1-21B,WH,N,O4178182A8,A,M,,28.2,17.75,13,,,,,59,19,64,45,,,132,,,,"TagID changed here from 0417816D0E, which was later lost from the individual (as indicated by wound on neck)",
F1-1-2011-4,07/07/2011,F1-1-4A,FSGSQ,N,O41781856F,A,M,Testes,46.4,15.2,10.15,202.2,145.2,,,9,19,214,195,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-41A,RS,N,O41781891D,A,M,,31.2,22.15,11.5,,,,,64,19,123,104,,,126,,,,Red only under arms,
F1-1-2011-4,07/07/2011,F1-1-20A,RS,N,O417818A89,A,M,,40.75,24.2,17.5,,,,,141,19,146,127,,,131,,,,,
F1-1-2011-4,07/07/2011,F1-1-15B,WH,R,O417818AFC,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-14A,WH,R,O417818D83,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-24B,WH,R,O417819716,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-1B,WH,N,O417819D4E,A,F,,25.75,16.4,8.1,,,,,33,19,57,38,,,128,,,,,
F1-1-2011-4,07/07/2011,F1-1-16A,RS,N,O417819E8B,A,F?,,40.25,22.45,9.65,,,,,135,19,131,112,,,130,,,,,
F1-1-2011-4,07/07/2011,F1-1-29B,RS,N,O41781A1C1,A,M,,40.35,22,14.6,,,,,147,19,113,94,Tear in left ear,,125,,,,"Thick collar, almost full",
F1-1-2011-4,07/07/2011,F1-1-38B,SS,R,O41781A1OC,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-18A,PR,R,O41781A64F,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-12B,LTG,N,O41781A79D,A,M,Testes,45.65,24.7,29.65,,,,,7,19,258,239,,,127,,,,,
F1-1-2011-4,07/07/2011,F1-1-33B,LSQ,N,O41781D84C,A,F,,36.2,13.25,4.75,136.9,86.05,,,16,19,114,85,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-37B,WH,R,O41781FAD8,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-4,07/07/2011,F1-1-46A,RR,R,O4178729C2,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-31A,WH,N,O4173BE7BA,SA,F,,27.5,18.1,7,,,,,47,19,59,40,,,6,,,,,
F1-1-2011-5,08/07/2011,F1-1-45A,RS,N,O4173BF5CB,SA,M,,40.4,25.9,12.6,,,,,155,19,132,113,,,8,,,,,
F1-1-2011-5,08/07/2011,F1-1-11B,LTG,R,O4173BFO4O,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-5B,LTG,N,O4178156B4,A,M,,45.2,25.2,28.9,,,,,11,19,284,265,,,4,,,,,
F1-1-2011-5,08/07/2011,F1-1-6B,LGTRS,N,O4178156OA,A,M,Testes,45.1,16.8,12.3,198.5,178,,40.1,22,19,232,213,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-17A,RS,R,O41781655B,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-34A,WH,R,O4178169F1,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-48A,SS,R,O417816FC2,A,M?,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-48B,RS,N,O417817165,A,M,,39.8,24.4,18.05,,,,,89,19,113,94,,,5,,,,,
F1-1-2011-5,08/07/2011,F1-1-37A,SS,N,O417817358,A,M?,,25.8,17.2,9.35,,,,,22,19,79,60,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-25A,RS,R,O417817746,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-20B,FSGSQ,R,O417817BE7,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-11A,MR,N,O4178181BO,A,M,,40.4,21.6,28.7,,,,,91,19,197,178,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-38B,RS,N,O41781853O,A,F,,36.9,24.7,8.75,,,,,107,19,121,102,,,2,,,,,
F1-1-2011-5,08/07/2011,F1-1-41A,SS,N,O4178188EB,A,M,,27.4,15.55,10.6,,,,,25,19,57,38,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-36A,RS,N,O4178192EB,A,M,,41.7,27.5,17,,,,,97,19,129,110,,,3,,,,,
F1-1-2011-5,08/07/2011,F1-1-32A,WH,N,O417819AE3,A,M,,27.4,19,10.5,,,,,29,19,58,39,,,7,,,,,
F1-1-2011-5,08/07/2011,F1-1-46A,MR,N,O417819E6E,A,M,,41.2,22.6,27.05,,,,,67,19,195,176,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-13A,SS,N,O41781A66O,A,F,,26.9,16.7,8.2,,,,,23,19,61,42,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-37B,RS,R,O41781AA7B,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-2B,RR,N,O41781EBF1,A,F,,35.4,19.55,18.85,,,,,7,19,112,93,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-47A,LTG,R,O41781F731,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-5,08/07/2011,F1-1-36B,RS,N,O41782O788,A,F,,36.5,22.2,9.8,,,,,97,19,126,107,,,1,,,,,
F1-1-2011-6,09/07/2011,F1-1-8A,LSQ,N,O417815627,A,M,Testes,34.75,12.9,17.8,129.75,99.75,,,4,19,99,80,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-2B,LTG,R,O4178156B4,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-6B,LGTRS,N,O4178156DC,A,M,Testes,46.7,15.25,,195.4,117.6,,40.5,8,20,193,173,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-26A,RS,R,O417815793,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-14B,LTG,R,O4178166A8,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-36B,WH,N,O4178167F7,A,M?,,27.4,16.95,13.1,,,,,15,19,55,36,,,145,,,,,
F1-1-2011-6,09/07/2011,F1-1-2A,RS,R,O417816A24,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-10B,RS,R,O417816A9B,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-45A,LTG,N,O417816F72,A,M,Testes,47.35,24.2,31.05,,,,,8,22,297,275,Tear in right ear,,142,,,,Black patch above anus,
F1-1-2011-6,09/07/2011,F1-1-37B,RS,N,O417817298,A,F,,38.7,22.1,10.45,,,,,109,19,128,109,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-34B,RS,R,O41781754O,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-25A,RS,R,O417817746,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-47B,RS,N,O41781791B,A,F,,40.35,23.3,10.9,,,,,97,19,109,90,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-5A,SS,R,O417817CCA,SA,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-44B,RS,N,O417817DFC,A,M,,40.15,22.6,21.2,,,,,107,19,137,118,,,,,,,Dark patch above anus,
F1-1-2011-6,09/07/2011,F1-1-48B,RR,N,O417817E5E,A,M,Testes,35.7,18.1,34.3,,,,,12,19,120,101,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-21B,WH,R,O4178182A8,A,M,,28.6,18.1,14.5,,,,,35,20,65,45,Bad hole from previous tagging needle,,,,,,Recapture but no tag - re-tagged,
F1-1-2011-6,09/07/2011,F1-1-47A,WH,R,O4178184EB,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-48A,RS,N,O4178187FC,A,F,,39.8,22.8,11.3,,,,,104,19,121,103,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-38B,RS,N,O4178188O9,A,F,,36.3,21.3,7.25,,,,,96,19,101,82,,,,,,,Lump on back,
F1-1-2011-6,09/07/2011,F1-1-41A,RS,R,O41781891D,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-28A,RS,R,O417818A89,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-34A,LSQ,R,O417818B43,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-35B,RS,R,O4178199AD,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-46A,MR,R,O417819E6E,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-29B,RS,R,O41781A1C1,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-3B,LTG,N,O41781A341,A,M?,,45.25,23.8,15.6,,,,,3,19,238,219,,,143,,,,,
F1-1-2011-6,09/07/2011,F1-1-11A,PR,R,O41781A64F,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-42B,LSQ,R,O41781B5DE,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-41B,FSGSQ,N,O41781D85D,A,M,Testes,46.6,14.2,6.1,176.9,88.8,,,11,19,214,195,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-6A,WH,N,O41781F593,A,M,,27.9,15.8,15.1,,,,,74,19,59,40,Lost left eye,,144,,,,,
F1-1-2011-6,09/07/2011,F1-1-20A,LGTRS,N,O41782O196,A,M,Testes,44.15,15,,,,,39.75,4,19,204,185,,,,,,,,
F1-1-2011-6,09/07/2011,F1-1-46B,RR,R,O4178729C2,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-42A,WH,R,O4173BEE8B,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-36A,LTG,N,O4173BF298,A,M,,48.05,27.05,37.2,,,,,7,19,335,316,,,147,,,,,
F1-1-2011-7,10/07/2011,F1-1-23A,LTG,N,O4173BFCF3,A,F,,48.45,25.7,20.75,,,,,10,19,303,284,,,149,,,,,
F1-1-2011-7,10/07/2011,F1-1-45B,RS,R,O4173CO352,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-26B,RS,R,O417815793,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-24A,RS,R,O41781655B,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-13A,WH,N,O417816624,A,F,,28.15,17.9,8.5,,,,,26,19,60,41,,,146,,,,,
F1-1-2011-7,10/07/2011,F1-1-22B,LSQ,N,O41781683B,A,M,Testes,34.3,12.6,22.5,142.45,80.7,,,4,19,94,75,Cut on side - new wound,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-14B,SS,R,O417816AF5,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-45A,WH,N,O417816BFC,A,M?,,27.55,17,10.5,,,,,31,19,62,43,,,148,,,,,
F1-1-2011-7,10/07/2011,F1-1-13B,HTSQ,N,O417816E7D,A,M,Testes,55.9,20.7,38.5,225.8,226.8,,,14,19,329,310,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-17A,RS,N,O417816EOO,A,F,,38.6,23.15,11.8,,,,,69,20,132,112,Tear in left ear,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-48A,RS,R,O417817165,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-40B,PR,N,O41781716C,A,M,Testes,24.7,14.5,21.9,,,,,4,19,63,44,,,,,,,"Dull brown, paler under, no guard hairs, ridges on pads. EDIT by ORW: originally ID'd as MFR/RR, before we had PR dialled down. very likely to be PR.",
F1-1-2011-7,10/07/2011,F1-1-32B,SS,R,O417817324,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-25B,RS,R,O417817746,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-25A,RS,R,O417817BA5,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-11B,MR,R,O4178181BO,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-6B,LTG,R,O41781822A,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-20A,WH,R,O4178182A8,A,M,,,,,,,,,,,,,,,,,,,Escaped before being processed,
F1-1-2011-7,10/07/2011,F1-1-28A,RS,R,O41781846A,SA,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-37B,RS,R,O41781853O,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-37A,RS,R,O4178188O9,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-19B,WH,R,O417818D83,A,F,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-2A,RR,N,O417819528,A,M,Testes,35.2,17.9,23.25,,,,,14,19,107,88,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-29A,RS,R,O4178199AD,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-2B,LTG,N,O41781C3A5,A,M,,45.45,24.6,19.35,,,,,15,19,312,293,,,150,,,,,
F1-1-2011-7,10/07/2011,F1-1-5A,LSQ,N,O41781ED44,A,F,,33.8,12.3,5.9,148.1,87.8,,,4,19,107,88,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-43B,RS,R,O41781F2D7,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-46A,LTG,R,O41781F731,A,M,,,,,,,,,,,,,,,,,,,,
F1-1-2011-7,10/07/2011,F1-1-33A,LSQ,N,O41782O463,A,F,,35.5,12.85,6.35,145.8,100.5,,,5,19,125,106,,,,,,,,
F100-2-2011-1,26/07/2011,F100-2-19B,WH,N,O417815B3O,A,F?,,27.9,19.1,10.5,,,,,43,19,65,46,End of tail missing - old wound,,153,,,,,
F100-2-2011-1,26/07/2011,F100-2-8B,SS,N,O417815CCF,A,F?,,24.45,19.2,10,,,,,64,20,64,44,,,,,,,,
F100-2-2011-1,26/07/2011,F100-2-11B,SS,N,O417815EBD,A,M,Black patch above anus - testes?,25.55,18.8,12.5,,,,,69,20,65,45,,,,,,,,
F100-2-2011-1,26/07/2011,F100-2-5B,RS,N,O41781622C,A,M,,41.4,25.4,22.7,,,,,194,20,141,121,,,164,,,,"very thick red collar, thick ankle bands",
F100-2-2011-1,26/07/2011,F100-2-16A,SS,N,O4178163OO,A,M,Testes,26.45,16.6,15.1,,,,,52,19,73,54,,,,,,,,
F100-2-2011-1,26/07/2011,F100-2-27B,LTG,N,O417816418,A,F?,,46.1,23.75,17.25,,,,,18,20,300,280,End of tail missing - old wound,,,,,,,
F100-2-2011-1,26/07/2011,F100-2-48A,SS,N,O4178165A8,A,M,Small lump above tail - testes?,27.6,17.2,14.9,,,,,49,19,73,54,Tail completely missing - old wound,,,,,,,
F100-2-2011-1,26/07/2011,F100-2-47B,LTG,N,O417816857,SA,F,,43.4,22.7,15.7,,,,,6,19,224,205,,,166,,,,"Dull brown colour, pale underneath, black guard hairs, long tail. Photos",
F100-2-2011-1,26/07/2011,F100-2-2B,WH,N,O4178168D1,A,F,,26.5,18.4,10.1,,,,,62,20,52,32,Half of tail missing - old wound,,160,,,,Fur clip on middle right side,
F100-2-2011-1,26/07/2011,F100-2-46A,SS,N,O4178169F8,A,F?,,26.95,16.6,11.15,,,,,75,19,71,52,,,,,,,,
