Occasion,Date,Trap,Species (LSQ: Low's Squirrel; RBSSQ: Red-bellied Scultor Squirrel; SS: Small Spiny; MR: Muller's; CBS: Chesnut-Bellied Spiny; LETRS: Lesser Treeshrew; STRS: Slender Treeshrew; LGTRS: Large Treeshrew),N or R,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight,Gross Weight,Net Weight,Parasites (number of ectoparasites visible with naked eye),Body Fat,Injuries ,Dead?,Tissue Sample ID,Parasite Sample,Fur sample,Faecal Sample 1,Faecal Sample 2,Processor,Who Baited,Other Notes
D10-2-2012-1,08/02/2012,D10-2-25A,WH,N,O4178C841D,A,M,Balls,25.4,17.8,16.3,,,,,60,13,47,32,,,,,,,,,Matt,Matt,
D10-2-2012-2,09/02/2012,D10-2-37B,RS,N,O4178C3B5C,A,M,,39.6,24.9,19,,,,,13,131,118,57,,,,,,,,,Matt,Mathiew,Not full collar
D10-2-2012-2,09/02/2012,D10-2-37A,LSQ,N,O4178C4546,A,F?,,28.8,,8.8,132.7,100.8,,,14,90,76,7,,,,,,,,,Faye,Mathiew,Fur not clipped
D10-2-2012-2,09/02/2012,D10-2-8B,PR,N,O4178C4B8D,A,M,Testes,23.1,15.2,18.65,,,,,14,51,37,32,,,,,,,,,Faye,Faye,
D10-2-2012-2,09/02/2012,D10-2-16A,WH,R,O4178C4DC6,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Anthony,
D10-2-2012-2,09/02/2012,D10-2-41B,RS,N,O4178C56O6,A,M,Testes,40,24.9,22.1,,,,,13,144,131,79,,,,,,,,,Matt,Mathiew,Full collar
D10-2-2012-2,09/02/2012,D10-2-5B,SS,N,O4178C5C6O,A,F,,25.7,17.9,9.3,,,,,13,65,52,28,,,,,,,,,Matt,Faye,White patch in centre of chest
D10-2-2012-2,09/02/2012,D10-2-27A,WH,N,O4178C5F4B,J,F?,,24,11.9,5.5,,,,,14,39,25,28,,,,,,,,,Faye,Eric,
D10-2-2012-2,09/02/2012,D10-2-25A,RS,N,O4178C62F9,A,F,,39.5,23.9,11.4,,,,,13,128,115,43,,last inch of tail broken,,,,,,,Matt,Eric,
D10-2-2012-2,09/02/2012,D10-2-32B,WH,N,O4178C6CEB,A,F,,26.9,17.1,7,,,,,21,75,54,37,,,,,,,,,Matt,Eric,
D10-2-2012-2,09/02/2012,D10-2-32A,WH,N,O4178C753O,A,M,Testes,26.1,17,17.9,,,,,13,70,57,48,,,,,,,,,Matt,Eric,
D10-2-2012-2,09/02/2012,D10-2-20B,RS,N,O4178C7B8D,A,M,,44.1,23.1,24.9,,,,,14,174,160,144,,,,,,,,,Faye,Anthony,Trap arm caught on Liana- didn't close fully
D10-2-2012-2,09/02/2012,D10-2-25B,WH,R,O4178C841D,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Eric,
D10-2-2012-2,09/02/2012,D10-2-45A,RS,N,O4178C844F,A,M,,39.4,21.8,21.6,,,,,14,125,111,153,,,,,,,,,Faye,Mathiew,"V. Broad collar & Ankle bands, measured R ear, L ear ripped in 2"
D10-2-2012-3,10/02/2012,D10-2-16B,MR,R,O4178C3246,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Matt,
D10-2-2012-3,10/02/2012,D10-2-21A,WH,N,O4178C35O1,A,M,Testes,27.3,17.5,15.9,,,,,13,55,42,31,,,,,,,,,Faye,Faye,
D10-2-2012-3,10/02/2012,D10-2-29B,CTRS,N,O4178C39CD,A,F,"3 x pairs nips, pregs? Distended tummy.",45.7,,6.6,203.35,192,,34.4,13,214,201,0,,,,,,,,,Faye,Zinin,
D10-2-2012-3,10/02/2012,D10-2-36A,RS,R,O4178C3B5C,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Zinin,
D10-2-2012-3,10/02/2012,D10-2-45A,WH,N,O4178C4722,A,F,"Perforated, 2 x pairs nips",25.7,17.4,12.1,,,,,13,60,47,31,,,,,,,,,Faye,Eric,
D10-2-2012-3,10/02/2012,D10-2-42B,RS,R,O4178C5573,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Eric,
D10-2-2012-3,10/02/2012,D10-2-25B,RS,R,O4178C62F9,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Zinin,
D10-2-2012-3,10/02/2012,D10-2-42A,LTG,R,O4178C63AE,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Eric,
D10-2-2012-3,10/02/2012,D10-2-19A,RS,R,O4178C669B,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-3,10/02/2012,D10-2-37A,RS,N,O4178C7B4F,A,F,,35.15,16.3,13,,,,,13,119,106,129,,,,,,,,,Faye,Eric,
D10-2-2012-3,10/02/2012,D10-2-45B,RS,N,O4178C81C4,A,M?,,36.1,24,19.5,,,,,13,125,112,128,,Lost 1/2 tail,,,,,,,Faye,Eric,
D10-2-2012-3,10/02/2012,D10-2-23B,WH,R,O4178C841D,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-3,10/02/2012,D10-2-7B,PR,N,O4178C8O4E,A,M,Large testes,21.6,15.2,18.1,,,,,13,45,32,9,,,,,,,,,Faye,Alex,"Escaped at camp point 25 while trying to get back in trap. Tail uniform brown, browny-grey upperparts, pale underparts."
D10-2-2012-3,10/02/2012,D10-2-13B,HTSQ,N,O417O84D63,A,F,,53.05,,11.3,231.2,229.2,,,13,310,297,3,,,,,,,,,Faye,Matt,"Horse tailed squirrel. Grey head, reddish body woth white underparts, speckled black and white tail. Cantik!"
D10-2-2012-4,11/02/2012,D10-2-28A,SS,N,O4178C3386,A,F,Perforated.,28,16.25,10.75,,,,,13,73,60,0,,Injured by ants in trap,,,,,,,Faye,Faye,Attacked in trap by ants. Not in a good condition. Alive when released. Moved off slowly.
D10-2-2012-4,11/02/2012,D10-2-36B,RS,R,O4178C3B5C,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-4,11/02/2012,D10-2-34A,LTG,N,O4178C3C64,A,M,Large testes,45.25,23.8,46.95,,,,,14,350,336,30,,,,451,,,,,Faye,Faye,
D10-2-2012-4,11/02/2012,D10-2-45B,LTG,R,O4178C445A,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Matt,
D10-2-2012-4,11/02/2012,D10-2-15B,WH,R,O4178C4DC6,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Alex,
D10-2-2012-4,11/02/2012,D10-2-9A,WH,R,O4178C4FC5,A,M,,,,,,,,,,,,,,"Tail caught in spring, broken in half.",,,,,,,Matt,James,
D10-2-2012-4,11/02/2012,D10-2-8B,WH,N,O4178C56O2,A,M,Testes,26.9,17.4,17,,,,,13,67,54,37,,,,450,,,,,Faye,James,
D10-2-2012-4,11/02/2012,D10-2-5A,SS,R,O4178C5C6O,A,F,Perforated.,,,,,,,,,,,,,,,453,,,,,Faye,James,Had been captured before but tag not scanning/had fallen out. Re-tagged and updated old record to reflect new tag number in use. Easily identified by orange underparts and white splodge on tummy.
D10-2-2012-4,11/02/2012,D10-2-29A,WH,R,O4178C5F4B,J,F?,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-4,11/02/2012,D10-2-39B,LTG,R,O4178C63AE,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Matt,
D10-2-2012-4,11/02/2012,D10-2-32B,WH,R,O4178C6CEB,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-4,11/02/2012,D10-2-13B,RS,R,O4178C7B8D,A,M,,,,,,,,,,,,,,Lost half of tail in trap.,,,,,,,Faye,Alex,
D10-2-2012-4,11/02/2012,D10-2-22B,CTRS,N,O4178C7O97,A,M,Testes,47.5,,18.8,187.7,182.15,,35.5,14,193,179,0,,,,,,,,,Faye,Alex,
D10-2-2012-4,11/02/2012,D10-2-7A,PR,N,O4178C8OOA,A,F,Perforated,20.9,12.5,7.4,,,,,14,48,34,0,,,,452,,,,,Faye,James,
D10-2-2012-4,11/02/2012,D10-2-7B,RR,N,O4178CB711O,A,M,Large testes,32.75,16.4,38.65,,,,,14,122,108,0,,,,454,,,,,Faye,James,
D10-2-2012-4,11/02/2012,D10-2-17A,DTT,N,O417O677BD,A,F,"Perforated, 3xpairs nips",24.5,13.9,10.6,,,,,13,65,52,0,,Injured by ants in trap,,,,,,,Faye,Alex,"Attacked in trap by ants. Not in a good condition. Alive when released, but didn't move far from trap site on release."
D10-2-2012-4,11/02/2012,D10-2-1A,MR,N,,,,,,,,,,,,,,,,,,,,,,,,Faye,James,ESCAPED
D10-2-2012-5,12/02/2012,D10-2-3B,LSQ,N,O4178C3618,A,M,Testes,29.3,,22.35,135.45,86.9,,,13,99,86,4,,,,,,,,,Faye,Matt,
D10-2-2012-5,12/02/2012,D10-2-29A,SS,N,O4178C4521,J,F?,,23.75,15.5,3.9,,,,,13,37,24,3,,,,455,,,,,Matt,Alex,
D10-2-2012-5,12/02/2012,D10-2-45B,WH,R,O4178C4722,A,F,,,,,,,,,,,,,,,,,,,,,Matt,James,
D10-2-2012-5,12/02/2012,D10-2-31A,LSQ,N,O4178C4D78,A,F,,33.25,,5.7,134.6,75,,,13,107,94,17,,End of tail missing,,,,,,,Matt,Alex,Had a leech attached to front right arm
D10-2-2012-5,12/02/2012,D10-2-6B,RR,N,O4178C4D8F,A,F,Perforated,33.4,18.9,25,,,,,13,138,125,6,,1/2 tail missing,,457,,,,,Matt,Matt,
D10-2-2012-5,12/02/2012,D10-2-16B,WH,R,O4178C4DC6,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-5,12/02/2012,D10-2-21B,PR,N,O4178C4O87,A,M,Testes,21.7,15.1,12.9,,,,,14,53,39,14,,,,456,,,,,Matt,Alex,
D10-2-2012-5,12/02/2012,D10-2-42B,RS,R,O4178C5573,A,M,,,,,,,,,,,,,,,,,,,,,Matt,James,
D10-2-2012-5,12/02/2012,D10-2-10A,SS,N,O4178C5BAC,A,M,,25,16.6,14.3,,,,,13,75,62,59,,,,458,,,,,Faye,Matt,
D10-2-2012-5,12/02/2012,D10-2-13A,SS,R,O4178C5C6O,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-5,12/02/2012,D10-2-29B,WH,R,O4178C5F4B,J,F?,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D10-2-2012-5,12/02/2012,D10-2-25A,RS,R,O4178C62F9,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D10-2-2012-5,12/02/2012,D10-2-13B,RS,R,O4178C669B,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-5,12/02/2012,D10-2-15B,LSQ,N,O4178C6E39,A,F,3xpairs nips,31,,9.1,145.2,88.5,,,13,110,97,3,,,,,,,,,Faye,Faye,
D10-2-2012-5,12/02/2012,D10-2-1A,LTG,R,O4178C6E6D,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Faye,
D10-2-2012-5,12/02/2012,D10-2-32B,WH,R,O4178C753O,,,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D10-2-2012-5,12/02/2012,D10-2-22B,CTRS,N,O4178C7CB6,A,M,,48.9,,15.8,180.6,190.9,,34.4,13,189,176,0,,,,,,,,,Matt,Matt,
D10-2-2012-5,12/02/2012,D10-2-44A,RS,R,O4178C81C4,A,M?,,,,,,,,,,,,,,,,,,,,,Matt,James,
D10-2-2012-5,12/02/2012,D10-2-19A,CTRS,N,,A,?,,,,,,,,,,,,,,,,,,,,,Matt,James,RELEASED
D10-2-2012-5,12/02/2012,D10-2-12B,LSQ,N,,A,M,Testes,31,,23.5,127,91.1,,,13,90,77,,,,,,,,,,Faye,Matt,RELEASED
D10-2-2012-6,13/02/2012,D10-2-28B,MR,R,O4178C3246,A,F,,,,,,,,,,,,,,,,,,,,,Faye,James,
D10-2-2012-6,13/02/2012,D10-2-6A,RR,R,O4178C4D8F,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Faye,
D10-2-2012-6,13/02/2012,D10-2-16A,WH,R,O4178C4DC6,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
D10-2-2012-6,13/02/2012,D10-2-7A,WH,R,O4178C4FC5,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D10-2-2012-6,13/02/2012,D10-2-9A,DTT,N,O4178C52OF,A,F,2xpairs nips,24.3,16.5,6.5,,,,,13,74,61,6,,,,460,,,,,Matt,Faye,
D10-2-2012-6,13/02/2012,D10-2-20A,RS,R,O4178C669B,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
D10-2-2012-6,13/02/2012,D10-2-5A,SS,N,O4178C6A4F,A,M,Testes,27.6,16.3,11.4,,,,,13,66,53,47,,,,459,,,,,Matt,Faye,
D10-2-2012-6,13/02/2012,D10-2-39A,CTRS,N,O4178C7B59,SA,F,,45.3,,6.6,144.7,152.1,,27.6,13,100,87,4,,,,,,,,,Matt,Alex,"EDIT by ORW: HF up to 43 in SLTRS (Payne), so a bit large for this species. At lowest end of CTRS, but weight, HB and T too short. Have still gone for CTRS, on basis it was a sub-adult or juvenile - the weight, HF and HB match the SA CTRS I recently caught in OG2-N (though the tail was slightly longer in that case). Would have helped if Matt has noted colouration."
D10-2-2012-6,13/02/2012,D10-2-13B,RS,R,O4178C7B8D,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
D10-2-2012-6,13/02/2012,D10-2-43B,RS,R,O4178C81C4,A,M?,,,,,,,,,,,,,,,,,,,,,Faye,Alex,
D10-2-2012-6,13/02/2012,D10-2-32A,RS,R,O4178C8315,A,M,,,,,,,,,,,,,,,,,,,,,Faye,James,
D10-2-2012-7,14/02/2012,D10-2-27A,RS,R,O4178C3B5C,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Anthony,
D10-2-2012-7,14/02/2012,D10-2-30B,LTG,R,O4178C3C64,A,M,Large testes,44.7,24.4,41.3,,,,,17,330,313,,,,,,,,,,Faye,Anthony,"Had been caught previously as visible fur clip and ear hole, but tag not present/not reading. Re-took measurements and re-tagged. Only one LTG in this grid with tissue sample taken, so this tag number updated to reflect the new tag inserted."
D10-2-2012-7,14/02/2012,D10-2-8A,DTT,N,O4178C3FO5,A,F,"Perforated, 3xpairs nips",25.5,16.6,8.7,,,,,14,78,64,6,,,,461,,,,,Faye,Matt,
D10-2-2012-7,14/02/2012,D10-2-1A,LTG,R,O4178C46EO,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Faye,
D10-2-2012-7,14/02/2012,D10-2-48A,SS,N,O4178C49DA,A,F,Perforated,25.8,17.3,12.4,,,,,15,83,68,17,,,,463,,,,,Faye,Zinin,
D10-2-2012-7,14/02/2012,D10-2-28A,LSQ,N,O4178C54F9,A,M,Testes,31.5,,21.7,135.6,44.1,,,17,104,87,3,,,,,,,,,Faye,Anthony,
D10-2-2012-7,14/02/2012,D10-2-33B,SS,N,O4178C54O3,A,M,,26.6,15,14.9,,,,,16,76,60,46,,,,466,,,,,Faye,Anthony,
D10-2-2012-7,14/02/2012,D10-2-46A,MR,N,O4178C645O,A,F,"Perforated, 2xpairs nips, distended tummy-pregs?",38,21,22.2,,,,,15,232,217,16,,Lost bottom part of tail,,465,,,,,Faye,Zinin,
D10-2-2012-7,14/02/2012,D10-2-25A,WH,R,O4178C6CEB,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Anthony,
D10-2-2012-7,14/02/2012,D10-2-48B,PR,N,O4178C76B3,A,M,Large testes,22.75,13.9,16.3,,,,,16,59,43,3,,,,464,,,,,Faye,Zinin,
D10-2-2012-7,14/02/2012,D10-2-12B,LTG,N,O4178C76B7,A,F,,42.5,23.5,20.1,,,,,15,315,300,3,,,,462,,,,,Faye,Matt,
D10-2-2012-7,14/02/2012,D10-2-37B,RS,R,O4178C7B4F,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Zinin,
D10-2-2012-7,14/02/2012,D10-2-44B,RS,R,O4178C81C4,A,M?,,,,,,,,,,,,,,,,,,,,,Faye,Zinin,
D1-1-2012-1,25/02/2012,D1-1-48A,SS,N,NewDead34,,,,,,,,,,,,,,,,death,Y,,,,,,Faye,James,"Dead in trap, no obvious reason, WHY GOD, WHY?!"
D1-1-2012-1,25/02/2012,D1-1-27A,PR,N,O4178C44F7,A,F,"Nips, 3 pairs",23.3,17.1,5.8,,,,,13,56,43,4,,notch missing top of L.ear,,470,,,,,Matt,James,Not fur clipped.Dark stripe on belly/chest. 
D1-1-2012-1,25/02/2012,D1-1-16B,RS,N,O4178C487O,A,M,Testes,40,23.9,26.2,,,,,13,159,146,84,,,,474,,,,,Matt,Alex/Matt,
D1-1-2012-1,25/02/2012,D1-1-31B,RR,N,O4178C5C1E,A,F,Perforated,34.1,18,18.5,,,,,13,122,109,11,,,,468,,,,,Faye,James,
D1-1-2012-1,25/02/2012,D1-1-48B,RS,N,O4178C5CO6,A,F,,39.2,23,12.6,,,,,13,120,107,139,,Notch missing from L.ear,,467,,,,,Faye,James,R.ear measured
D1-1-2012-1,25/02/2012,D1-1-18A,WH,N,O4178C782E,A,M,Testes,25.1,14.7,18.9,,,,,13,63,51,42,,,,469,,,,,Faye,Alex/Matt,
D1-1-2012-1,25/02/2012,D1-1-15B,RS,N,O4178C7ACO,A,F,Perforated,39.2,24,10,,,,,13,152,139,54,,,,474,,,,,Matt,Alex/Matt,
D1-1-2012-1,25/02/2012,D1-1-6A,RS,N,O4178C8517,A,M,Testes,39.1,23,26.35,,,,,13,159,146,71,,,,472,,,,,Matt,Alex/Matt,
D1-1-2012-1,25/02/2012,D1-1-2B,SS,N,O4178C8OBD,A,F,"nips, 1 pair",26.8,17.9,10.4,,,,,13,75,62,36,,,,471,,,,,Matt,Alex/Matt,
D1-1-2012-2,26/02/2012,D1-1-37B,LTG,N,O4178C4E1O,A,M,Large testes,44.6,24.1,39.5,,,,,13,345,332,9,,,,480,,,,,Matt,Shahreen,Right ear sampled in error.
D1-1-2012-2,26/02/2012,D1-1-37A,RS,N,O4178C4E7E,A,F,"2 xpairs nips, pregs? Distended tummy",38.5,20.9,9.5,,,,,13,142,129,169,,Half tail skinned,,477,,,,,Faye,Shahreen,"No distinct collar, thin ankle straps."
D1-1-2012-2,26/02/2012,D1-1-39A,SS,N,O4178C63O1,A,F,Perforated,24.5,14.7,10.1,,,,,13,70,57,52,,"Left ear very ripped, 2 notches from right ear missing",,478,,,,,Faye,Shahreen,Right ear sampled as left ear too ripped.
D1-1-2012-2,26/02/2012,D1-1-48B,LTG,N,O4178C64FF,A,F,Perforated,44.6,25.1,11.4,,,,,13,315,302,0,,,,482,,,,,Matt,Shahreen,
D1-1-2012-2,26/02/2012,D1-1-46A,LTG,N,O4178C67E1,A,M,Large testes,45.8,25.8,37,,,,,13,390,377,4,,Tear in top of both left and right ear,,481,,,,,Matt,Shahreen,Rufous patch on chest
D1-1-2012-2,26/02/2012,D1-1-48A,RS,N,O4178C6BD1,A,M,Testes,43.3,23.4,24.9,,,,,13,157,144,147,,,,479,,,,,Faye,Shahreen,No obvious collar.
D1-1-2012-2,26/02/2012,D1-1-15A,SS,N,O4178C714A,A,M,Testes,26.7,16.4,17.6,,,,,13,75,62,23,,,,475,,,,,Faye,Matt,
D1-1-2012-2,26/02/2012,D1-1-2B,RR,N,O4178C78AC,A,M,Testes,34.4,17.8,22.7,,,,,13,97,84,0,,,,476,,,,,Faye,Shahreen,
D1-1-2012-2,26/02/2012,D1-1-4A,SS,R,O4178C8OBD,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
D1-1-2012-2,26/02/2012,D1-1-5B,LSQ,N,O417O6951F,A,F,2 xpairs nips,32.3,,7.2,145.25,86.3,,,13,105,92,1,,"Left side of back, left back leg and inside of right back leg has had fur ripped off in trap.",,,,,,,Faye,Matt,
D1-1-2012-3,27/02/2012,D1-1-18B,PR,N,O41781A41B,A,M,Testes,22.9,13.1,22.3,,,,,13,51,38,8,,,,488,,,,,Matt,Alex,
D1-1-2012-3,27/02/2012,D1-1-41B,WH,N,O4178C334C,A,M,Testes,27.6,14.3,20.4,,,,,14,69,55,36,,"Lost half tail (old injury), notch out of left ear",,489,,,,,Faye,Matt,
D1-1-2012-3,27/02/2012,D1-1-18A,DTT,N,O4178C3CD2,A,M,Testes,26.8,16.7,19.1,,,,,13,81,68,7,,,,486,,,,,Matt,Alex,
D1-1-2012-3,27/02/2012,D1-1-24B,WH,N,O4178C3EA4,SA?,M,Testes,24.7,14.9,13.2,,,,,14,53,39,29,,,,487,,,,,Faye,Alex,"Darker upperparts, SubAd? From hnd legs back appears darker, almost like shaved?"
D1-1-2012-3,27/02/2012,D1-1-47B,LSQ,N,O4178C3F8A,A,F,,32.9,132,7.3,,,,,13,96,83,4,,,,,,,,,Matt,Matt,
D1-1-2012-3,27/02/2012,D1-1-27B,PR,R,O4178C44F7,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Alex,Re-ethered to fur clip
D1-1-2012-3,27/02/2012,D1-1-44B,WH,N,O4178C45D4,J,F?,,21.8,16.4,6.2,,,,,14,32,18,26,,,,490,,,,,Faye,Matt,"Dark upperparts, pale buff underparts, tail pale below"
D1-1-2012-3,27/02/2012,D1-1-16B,RS,R,O4178C487O,A,M,,,,,,,,,,,,,,,,,,,,,Faye,James,
D1-1-2012-3,27/02/2012,D1-1-36B,RS,N,O4178C4C79,A,M,Large testes,42.9,23,21,,,,,14,177,163,177,,"Tail broken 2.5"" from end",,492,,,,,Faye,Matt,Thick collar
D1-1-2012-3,27/02/2012,D1-1-40A,SS,N,O4178C564D,A,M,Testes,28.5,15,12.6,,,,,13,82,69,2,,Chunk missing in right ear,,491,,,,,Matt,Matt,
D1-1-2012-3,27/02/2012,D1-1-15A,SS,N,O4178C59E7,A,F,"Perforated, 2xpairs nips",26,15.5,14.4,,,,,14,86,72,52,,Notch out of left ear,,485,,,,,Faye,James,
D1-1-2012-3,27/02/2012,D1-1-48B,RS,R,O4178C5CO6,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
D1-1-2012-3,27/02/2012,D1-1-39A,SS,R,O4178C63O1,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Alex,
D1-1-2012-3,27/02/2012,D1-1-48A,LTG,R,O4178C64FF,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
D1-1-2012-3,27/02/2012,D1-1-32B,RS,R,O4178C6BD1,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Alex,
D1-1-2012-3,27/02/2012,D1-1-21A,RS,N,O4178C6ECF,A,F,Perforated,39.5,22.8,11.3,,,,,13,173,160,65,,,,484,,,,,Matt,Alex,
D1-1-2012-3,27/02/2012,D1-1-2B,PR,N,O4178C7678,A,M,Large testes,23.7,15.8,23.1,,,,,14,63,49,1,,,,483,,,,,Faye,James,
D1-1-2012-3,27/02/2012,D1-1-17A,WH,R,O4178C782E,,,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-3,27/02/2012,D1-1-23A,RS,R,O4178C7ACO,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-3,27/02/2012,D1-1-17B,RS,R,O4178C8517,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-3,27/02/2012,D1-1-2A,SS,R,O4178C8OBD,A,F,,,,,,,,,,,,,,,,,,,,,Faye,James,
D1-1-2012-4,28/02/2012,D1-1-12B,WH,N,O4178C361E,A,F,Perforated,28,15.7,8.5,,,,,13,70,57,59,,Missing half tail (old injury),,500,,,,,Faye,Alex,
D1-1-2012-4,28/02/2012,D1-1-36A,SS,N,O4178C371F,A,M,Testes,24.5,15.7,11.4,,,,,13,54,41,34,,Bleeding testicle,,497,,,,,Matt,James,
D1-1-2012-4,28/02/2012,D1-1-4B,WH,N,O4178C3891,A,M,Testes,27.1,18.9,17.6,,,,,13,65,52,33,,,,501,,,,,Matt,Alex,
D1-1-2012-4,28/02/2012,D1-1-25A,WH,R,O4178C3EA4,SA?,M,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D1-1-2012-4,28/02/2012,D1-1-48A,RS,N,O4178C433C,A,F,,40,17.75,13.7,,,,,13,130,117,101,,,,493,,,,,Faye,James,"Thin ankle straps, no distinct collar."
D1-1-2012-4,28/02/2012,D1-1-43B,WH,N,O4178C53D4,A,F,Perforated,27.5,14.8,11.2,,,,,13,71,58,23,,,,494,,,,,Faye,James,
D1-1-2012-4,28/02/2012,D1-1-13B,LSQ,N,O4178C55O3,A,F,,29.9,,6.5,115.9,72.2,,,13,95,82,15,,,,,,,,,Faye,Alex,
D1-1-2012-4,28/02/2012,D1-1-26A,CTRS,N,O4178C5C21,A,F,,48.2,,5.5,182.3,190.2,,33.5,13,231,218,0,,L.side of lower jaw cut,,,,,,,Matt,Faye,
D1-1-2012-4,28/02/2012,D1-1-47A,RS,R,O4178C5CO6,A,F,,,,,,,,,,,,,,,,,,,,,Matt,James,
D1-1-2012-4,28/02/2012,D1-1-33A,SS,R,O4178C63O1,A,F,,,,,,,,,,,,,,,,,,,,,Matt,James,
D1-1-2012-4,28/02/2012,D1-1-18A,WH,N,O4178C6BC4,A,M,Testes,25.75,14.25,18,,,,,13,65,52,33,,,,498,,,,,Faye,Matt,
D1-1-2012-4,28/02/2012,D1-1-15B,SS,R,O4178C714A,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-4,28/02/2012,D1-1-1B,RS,N,O4178C7246,A,F,,37.6,23.3,11.7,,,,,13,148,135,48,,,,496,,,,,Matt,Alex,
D1-1-2012-4,28/02/2012,D1-1-16B,WH,R,O4178C782E,,,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-4,28/02/2012,D1-1-17A,DTT,N,O4178C87E9,A,F,"Perforated, 2xpairs nips, distended tummy-pregs?",24.2,16.4,12.7,,,,,13,91,78,4,,Left ear very ripped - right ear sampled and measured,,499,,,,,Faye,Matt,Right ear sampled and measured.
D1-1-2012-4,28/02/2012,D1-1-4A,SS,R,O4178C8OBD,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-4,28/02/2012,D1-1-47B,LTG,N,O417O69B97,A,M,Large testes,44.1,25.5,46.5,,,,,13,372.5,359.5,12,,2 x rips in right ear,,495,,,,,Faye,James,
D1-1-2012-4,28/02/2012,D1-1-29B,LTG,N,,,,,,,,,,,,,,,,,,,,,,,,Matt,Faye,ESCAPED
D1-1-2012-5,29/02/2012,D1-1-41B,WH,R,O4178C334C,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Mike,
D1-1-2012-5,29/02/2012,D1-1-12B,WH,R,O4178C361E,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
D1-1-2012-5,29/02/2012,D1-1-36B,SS,R,O4178C371F,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Sabri,
D1-1-2012-5,29/02/2012,D1-1-2A,RR,N,O4178C3D55,A,F,Perforated,31,17.7,18.5,,,,,13,96,83,3,,,,502,,,,,Faye,Matt,
D1-1-2012-5,29/02/2012,D1-1-24B,WH,R,O4178C3EA4,SA?,M,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-5,29/02/2012,D1-1-23B,PR,R,O4178C44F7,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-5,29/02/2012,D1-1-16B,RS,R,O4178C487O,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
D1-1-2012-5,29/02/2012,D1-1-36A,RS,R,O4178C4C79,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Sabri,
